case_id,issuer,cik,accession,filing_date,amendment_number,document_format,composite_present,gold_count,v03_instruction_count,v03_tp,v03_fp,v03_fn,v03_precision,v03_recall,v03_f1,v04_instruction_count,v04_tp,v04_fp,v04_fn,v04_precision,v04_recall,v04_f1,v04_instruction_classes,v04_unresolved_count,v02_instruction_count,text_chars,exhibit_type
DEV-001,"Western Midstream Partners, LP  (WES)",0001423902,0001423902-20-000006,2020-01-06,1,A,False,0,0,0,0,0,1.0,1.0,1.0,1,0,1,0,0.0,1.0,0.0,RESTATE_SECTION,0,1,311897,EX-10.1
DEV-002,RITE AID CORP  (RADCQ),0000084129,0001104659-20-001791,2020-01-07,1,A,False,1,1,1,0,0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,RESTATE_SECTION,0,1,26450,EX-10.1
DEV-003,"STEEL PARTNERS HOLDINGS L.P.  (SPLP, SPLP-PA)",0001452857,0000921895-20-000216,2020-01-31,5,A,False,2,1,1,0,1,1.0,0.5,0.667,2,1,1,1,0.5,0.5,0.5,RESTATE_SECTION,0,4,51801,EX-10.1
DEV-004,Altus Midstream Co  (KNTK),0001692787,0001193125-20-030780,2020-02-11,2,G,False,1,0,0,0,1,1.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,,0,0,12711,EX-10.1
DEV-005,"FUELCELL ENERGY INC  (FCEL, FCELB)",0000886128,0001564590-20-004587,2020-02-13,2,G,False,2,0,0,0,2,1.0,0.0,0.0,0,0,0,2,1.0,0.0,0.0,,0,0,29494,EX-10.1
DEV-006,ULTRA PETROLEUM CORP,0001022646,0001193125-20-039751,2020-02-18,6,A,False,1,1,0,1,1,0.0,0.0,0.0,1,1,0,0,1.0,1.0,1.0,RESTATE_SECTION,0,1,14268,EX-10.1
DEV-007,Koppers Holdings Inc.  (KOP),0001315257,0001193125-20-051092,2020-02-27,4,A,False,2,0,0,0,2,1.0,0.0,0.0,2,2,0,0,1.0,1.0,1.0,DELETE_COMMITMENT;RESTATE_SECTION,0,0,37983,EX-10.1
DEV-008,"XpresSpa Group, Inc.  (XWEL)",0001410428,0001104659-20-029962,2020-03-06,6,A,False,1,0,0,0,1,1.0,0.0,0.0,1,1,0,0,1.0,1.0,1.0,REPLACE_TEXT,0,0,9887,EX-10.1
DEV-009,BlueLinx Holdings Inc.  (BXC),0001301787,0001301787-20-000016,2020-04-07,6,A,False,1,1,1,0,0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,ADD_COMMITMENT,0,1,25381,EX-10.1
DEV-010,"e.l.f. Beauty, Inc.  (ELF)",0001600033,0001600033-20-000015,2020-04-09,3,A,False,3,2,2,0,1,1.0,0.667,0.8,3,3,0,0,1.0,1.0,1.0,ADD_COMMITMENT;RESTATE_SECTION,0,3,18634,EX-10.1
